title,Property_price,Number_of_rooms,Number_of_Bathrooms,Property_size,Link_of_Location
Private Pool 4 Bedroom House Construction in Sri Lanka / Rs. 31.8million / Brand New / Rs. 318 Laks,"Rs. 31,185,000  ($ 107,000)",4,4,10 perches,https://www.youtube.com/embed/-yM9YOJaga4
4 Bedroom house for sale in Negombo for Rs. 85 million (negotiable),"Rs. 85,000,000",4,3,57 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Two Storied Luxury House For Sale In Haert Of The Negombo town limits.,"Rs. 56,000,000  ($ 173,656)",7,7,15 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Luxury House for Sale in Negombo,"Rs. 160,000,000",5,4,30 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.229550600000000000,79.987910900000000000&zoom=15&center=7.229550600000000000,79.987910900000000000"
"Luxury Twin House for Sale Santorini Resort Residencies, Negombo (C7-8183)","Rs. 36,100,000",2,2,5.85 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom house for sale in Negombo for Rs. 45 million,"Rs. 45,000,000",4,3,12.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Extraordinary Superior Luxury Royal Conditions Box Modern Luxury 5 Bed Rooms Upstairs House For Sale In Negombo,"Rs. 69,500,000",5,3,18 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Perfect Wooden Used Brand New Upstairs House For Sale In Negombo Area (Welihena),"Rs. 49,000,000",4,4,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Well Built Luxury Brand New Quality House For Sale In Adiambalama Katunanyaka,"Rs. 33,500,000",3,2,12.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Nice Modern Designs Super Condition Box Type Luxurious House For Sale Negombo,"Rs. 56,000,000",5,4,19.6 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Modern 5 Bedroom house for sale in Negombo for Rs. 72.50 million,"Rs. 72,500,000",5,4,18.5 perches,https://www.youtube.com/embed/HHUmJyWBnUM
2 Bedroom House For Sale In Katunayake For 16.5 Million ( Open For Offers ),"Rs. 16,500,000",2,3,9.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Box Modern Brand New Luxury Fully Completed House For Sale In Negombo Kadirana,"Rs. 42,500,000",4,2,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
House For Sale In Negambo Suburbs -code Add 736,"Rs. 39,500,000  ($ 131,320)",4,2,20 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom House | For Sale | Negombo | 32 Perches | 3500 sq.ft | EK-1241,"Rs. 200,000,000",4,3,32 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Super Luxury 3 Storied 10BR Completed Brand New Luxury House For Sale Negombo,"Rs. 72,000,000",10,10,15 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Five Bed Rooms Upstairs Completed Luxury House For Sale In Negombo,"Rs. 37,500,000",5,2,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Latest Designs Beautiful 3 BR Completed House for Sale in Negombo Area (Daluwakotuwa),"Rs. 32,000,000",3,3,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
3 Bedroom house for sale in Negombo for Rs. 21 million,"Rs. 21,000,000",3,2,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom house for sale in Negombo for Rs.35.5 million,"Rs. 35,500,000",4,5,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Beach facing Pamunugama Luxury Modern Villa For Sale With 27 Perches Land | Negombo Road,"Rs. 69,000,000",4,3,27 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Super Luxury Spaciously Built Upstairs Solid New House For Sale Negombo,"Rs. 50,000,000",4,3,10.2 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Near Beach Negombo 5 Bedroom House For Sale in Negombo for Rs. 39.50 million,"Rs. 39,500,000",5,5,10.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
3 Bedroom house for sale in Negombo for Rs. 29.50 million (total),"Rs. 29,500,000",3,3,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Top Condition Solid Built Upstairs Luxury New House For Sale In Negombo,"Rs. 29,500,000",3,3,6 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Perfectly Built Open Terrace With 3 Storied 5 Br Luxury House For Sale In Negombo,"Rs. 39,500,000",5,3,7.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Spacious House/Villa | 6 Bedrooms | For Sale | Negombo | 3400 sq.ft | EK-1182,"Rs. 155,000,000",6,6,34 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom house for sale in Negombo for Rs. 165 million,"Rs. 165,000,000",4,4,36 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
House for sale in Negombo for Rs. 20 million (negotiable),"Rs. 20,000,000",3,2,85 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.205520800000000000,79.851256200000000000&zoom=15&center=7.205520800000000000,79.851256200000000000"
Private Pool 3 Bedroom House Construction in Negombo / Rs. 19.8 million / Luxury / Rs. 198 Laks,"Rs. 19,800,000  ($ 68,000)",3,2,7 perches,https://www.youtube.com/embed/lfAbWcGm74Y
Private Pool 3 Bedroom House Construction in Negombo / Rs. 19.8 million / Brand New / Rs. 198 Laks /68000 USD,"Rs. 19,800,000  ($ 68,000)",3,2,7 perches,https://www.youtube.com/embed/AqYsQ8b28sU
4 Bedroom house Construction in Negombo for Rs. 17.8 million / Rs. 178 Laks / New Construction,"Rs. 17,800,000  ($ 61,264)",4,2,7 perches,https://www.youtube.com/embed/hFdkIgNMO-I
2 Bedroom Pool Villa Construction in Negombo for Rs. 12.4 million / Rs. 124 Laks / New Construction,"Rs. 12,400,000  ($ 42,000)",2,2,7 perches,https://www.youtube.com/embed/OZJXPc_gD2M
Luxury House for Sale – Negombo (Kimbulapitiya Area),"Rs. 45,000,000",3,2,12 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom house for sale in Negombo for Rs. 140 million,"Rs. 140,000,000",4,3,85 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.2279559,79.8530127&zoom=15&center=7.2279559,79.8530127"
Negombo 4 bedroom house with a swimming pool for sale,"Rs. 90,000,000",4,3,54 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
⭕️ (K442) Elegant Family Home for Sale in Negombo,"Rs. 26,500,000",3,2,10 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
⭕️ (K440) Two Storey House For Sale in Negombo,"Rs. 43,500,000",4,3,9.2 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Negombo 3 Bedroom House for sale with swimming pool,"Rs. 125,000,000",3,3,192 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Extravagant British colonial villa/house for sale in NEGOMBO (EM322),"Rs. 110,000,000",5,4,30 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.205520800000000000,79.851256200000000000&zoom=15&center=7.205520800000000000,79.851256200000000000"
4-Bedroom Family Haven in Prime Negombo Location!,"Rs. 49,000,000",4,3,12 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Central Negombo | 4-Bed Family Home,"Rs. 53,000,000",3,2,10.3 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
5 Bedroom house for sales in Negombo for Rs. 70 million (Negotiable),"Rs. 70,000,000",5,4,16.5 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.206185801491300000,79.854967355077000000&zoom=15&center=7.206185801491300000,79.854967355077000000"
Super Luxury House for sale in Negombo for Rs. 155 million (Negotiable),"Rs. 155,000,000",6,6,34 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
Luxury villa for sale in Negombo,"Rs. 90,000,000",4,3,20 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
House For Sale in Negombo,"Rs. 130,000,000",5,5,63 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.213193257444400000,79.856328106360000000&zoom=15&center=7.213193257444400000,79.856328106360000000"
"House for Sale - Negombo | LKR 85,000,000","Rs. 85,000,000",7,6,60 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
"Negombo, Wellaweediya, Fully Furnished 08 Bedroom House on 24 Perches of Land for Sale","Rs. 95,000,000",8,4,24 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.200797,79.873672&zoom=15&center=7.200797,79.873672"
4 Bedroom Bungalow for sale in Katana for Rs.49.5 Million,"Rs. 49,500,000  ($ 165,000)",4,2,45 perches,"https://www.google.com/maps/embed/v1/place?key=AIzaSyAix_Fi0v0mwaPPP19idDwL4OlAovcr8bc%20%20%20%20%20%20%20%20%20%20%20%20&q=7.231405168976300000,79.915907753198000000&zoom=15&center=7.231405168976300000,79.915907753198000000"
